agent 2 and landmark 0   p_force[a][ 0.39985313 -2.54231805],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[-1.54776987e-64  9.76024768e-65],f_bNone
agent 2 and landmark 1   p_force[a][ 0.39985313 -2.54231805],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][ 3.99826264e+00 -1.42284017e-03],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][ 3.99826264e+00 -1.42284017e-03],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][ 3.99826264e+00 -1.42284017e-03],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.98172575e+00 -2.11784919e-03],p_force[b][ 2.82478684 -0.1525101 ] f_a[ 3.27299515e-135 -9.87001839e-135],f_b[-3.27299515e-135  9.87001839e-135]
agent 0 and agent 2   p_force[a][ 2.98172575e+00 -2.11784919e-03],p_force[b][ 2.89560735 -0.07686146] f_a[ 0. -0.],f_b[-0.  0.]
agent 0 and agent 3   p_force[a][ 2.98172575e+00 -2.11784919e-03],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 2.98172575e+00 -2.11784919e-03],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[-3.37155577e-210 -2.08074845e-209],f_bNone
agent 0 and landmark 1   p_force[a][ 2.98172575e+00 -2.11784919e-03],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[4.56247593e-108 3.69340844e-108],f_bNone
agent 1 and agent 2   p_force[a][ 2.82478684 -0.1525101 ],p_force[b][ 2.89560735 -0.07686146] f_a[ 6.56969644e-142 -6.07271777e-141],f_b[-6.56969644e-142  6.07271777e-141]
agent 1 and agent 3   p_force[a][ 2.82478684 -0.1525101 ],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][ 2.82478684 -0.1525101 ],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[-9.56068797e-60 -1.12936180e-59],f_bNone
agent 1 and landmark 1   p_force[a][ 2.82478684 -0.1525101 ],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[2.88410602e-231 8.39846825e-231],f_bNone
agent 2 and agent 3   p_force[a][ 2.89560735 -0.07686146],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[-0.  0.],f_b[ 0. -0.]
agent 2 and landmark 0   p_force[a][ 2.89560735 -0.07686146],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[-1.52190302e-34  7.51767206e-35],f_bNone
agent 2 and landmark 1   p_force[a][ 2.89560735 -0.07686146],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][ 3.99840856e+00 -1.01478095e-03],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][ 3.99840856e+00 -1.01478095e-03],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][ 3.99840856e+00 -1.01478095e-03],p_force[b][ 3.99840856e+00 -1.01478095e-03] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][2.98817986 0.00460941],p_force[b][ 2.98631376 -0.01342588] f_a[ 5.63934632e-126 -1.24958096e-125],f_b[-5.63934632e-126  1.24958096e-125]
agent 0 and agent 2   p_force[a][2.98817986 0.00460941],p_force[b][ 2.45149988 -0.31449417] f_a[ 0. -0.],f_b[-0.  0.]
agent 0 and agent 3   p_force[a][2.98817986 0.00460941],p_force[b][ 3.99089241 -0.00659677] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][2.98817986 0.00460941],p_force[b][ 3.99089241 -0.00659677] f_a[-5.54159184e-216 -1.42945003e-214],f_bNone
agent 0 and landmark 1   p_force[a][2.98817986 0.00460941],p_force[b][ 3.99089241 -0.00659677] f_a[5.71505996e-135 3.53407907e-135],f_bNone
agent 1 and agent 2   p_force[a][ 2.98631376 -0.01342588],p_force[b][ 2.45149988 -0.31449417] f_a[ 5.32000436e-144 -5.38662697e-143],f_b[-5.32000436e-144  5.38662697e-143]
agent 1 and agent 3   p_force[a][ 2.98631376 -0.01342588],p_force[b][ 3.99089241 -0.00659677] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][ 2.98631376 -0.01342588],p_force[b][ 3.99089241 -0.00659677] f_a[-1.50605347e-66 -2.66797470e-66],f_bNone
agent 1 and landmark 1   p_force[a][ 2.98631376 -0.01342588],p_force[b][ 3.99089241 -0.00659677] f_a[7.00491939e-217 1.55461661e-216],f_bNone
agent 2 and agent 3   p_force[a][ 2.45149988 -0.31449417],p_force[b][ 3.99089241 -0.00659677] f_a[-0.  0.],f_b[ 0. -0.]
agent 2 and landmark 0   p_force[a][ 2.45149988 -0.31449417],p_force[b][ 3.99089241 -0.00659677] f_a[-0.07103227  0.02872486],f_bNone
agent 2 and landmark 1   p_force[a][ 2.38046761 -0.28576931],p_force[b][ 3.99089241 -0.00659677] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][ 3.99089241 -0.00659677],p_force[b][ 3.99089241 -0.00659677] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][ 3.99089241 -0.00659677],p_force[b][ 3.99089241 -0.00659677] f_a[0. 0.],f_bNone
